TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101030800,"(40.05478323370, -75.0819055854)",40.05478323370, -75.0819055854,72,55,74
42101030900,"(40.04376327190, -75.0851913204)",40.04376327190, -75.0851913204,85,52,63
42101031000,"(40.04972930320, -75.0744540698)",40.04972930320, -75.0744540698,71,53,60
42101031101,"(40.04224960800, -75.0785448508)",40.04224960800, -75.0785448508,86,57,52
42101031102,"(40.03708500430, -75.0833728853)",40.03708500430, -75.0833728853,82,63,66
42101031200,"(40.03542044560, -75.0774549589)",40.03542044560, -75.0774549589,82,69,57
42101031300,"(40.03931897920, -75.0698140427)",40.03931897920, -75.0698140427,83,60,54
42101031401,"(40.04571341690, -75.0665727966)",40.04571341690, -75.0665727966,88,61,64
42101031402,"(40.04327979870, -75.0602860135)",40.04327979870, -75.0602860135,89,64,63
42101031501,"(40.03659192880, -75.0481641315)",40.03659192880, -75.0481641315,88,60,56
42101031502,"(40.03926583810, -75.0548692255)",40.03926583810, -75.0548692255,78,65,62
42101031600,"(40.03261265290, -75.0590717161)",40.03261265290, -75.0590717161,87,61,57
42101031700,"(40.03060511060, -75.0683988248)",40.03060511060, -75.0683988248,75,72,54
42101031800,"(40.03110207280, -75.0769891476)",40.03110207280, -75.0769891476,67,76,62
42101031900,"(40.02306002350, -75.0648988456)",40.02306002350, -75.0648988456,75,72,52
42101032000,"(40.02717512420, -75.0548672557)",40.02717512420, -75.0548672557,87,54,52
42101032100,"(40.01701747080, -75.0589751878)",40.01701747080, -75.0589751878,78,50,65
42101032300,"(40.02108984240, -75.0515269841)",40.02108984240, -75.0515269841,75,52,61
